Title,Date
"Superstore: Uma Loja de Inconveniências: Temporada 4: Scanners","23/05/2022"
"Superstore: Uma Loja de Inconveniências: Temporada 4: Cloud verde","23/05/2022"
"Superstore: Uma Loja de Inconveniências: Temporada 4: Festa de quinze anos","23/05/2022"
"Superstore: Uma Loja de Inconveniências: Temporada 4: Páscoa","23/05/2022"
"Superstore: Uma Loja de Inconveniências: Temporada 4: Salário","23/05/2022"
"Superstore: Uma Loja de Inconveniências: Temporada 4: Pequenos crimes","23/05/2022"
"Superstore: Uma Loja de Inconveniências: Temporada 4: Pombinhos","23/05/2022"
"Superstore: Uma Loja de Inconveniências: Temporada 4: Nevasca","22/05/2022"
"Superstore: Uma Loja de Inconveniências: Temporada 4: Campeonato de passos","22/05/2022"
"Superstore: Uma Loja de Inconveniências: Temporada 4: Academia da Cloud 9","22/05/2022"
"Superstore: Uma Loja de Inconveniências: Temporada 4: Treinamento do Glenn","22/05/2022"
"Superstore: Uma Loja de Inconveniências: Temporada 4: Conferência dos gerentes","22/05/2022"
"Superstore: Uma Loja de Inconveniências: Temporada 4: Nova política","22/05/2022"
"Superstore: Uma Loja de Inconveniências: Temporada 4: Licença-maternidade","22/05/2022"
"Superstore: Uma Loja de Inconveniências: Temporada 4: Trabalho de parto","22/05/2022"
"Superstore: Uma Loja de Inconveniências: Temporada 4: Concurso de fantasias","22/05/2022"
"Superstore: Uma Loja de Inconveniências: Temporada 4: Local de trabalho tóxico","22/05/2022"
"Superstore: Uma Loja de Inconveniências: Temporada 4: Chá de bebê","21/05/2022"
"Superstore: Uma Loja de Inconveniências: Temporada 4: Volta às aulas","21/05/2022"
"Superstore: Uma Loja de Inconveniências: Temporada 3: Reunião pública","21/05/2022"
"Superstore: Uma Loja de Inconveniências: Temporada 3: Consequências","21/05/2022"
"Superstore: Uma Loja de Inconveniências: Temporada 3: Chá de revelação","21/05/2022"
"Superstore: Uma Loja de Inconveniências: Temporada 3: Loteria","21/05/2022"
"Superstore: Uma Loja de Inconveniências: Temporada 3: Dia dos vendedores locais","21/05/2022"
"Superstore: Uma Loja de Inconveniências: Temporada 3: Gerente regional","21/05/2022"
"Superstore: Uma Loja de Inconveniências: Temporada 3: Target","21/05/2022"
"Superstore: Uma Loja de Inconveniências: Temporada 3: Anistia","21/05/2022"
"Superstore: Uma Loja de Inconveniências: Temporada 3: Treinamento de segurança","21/05/2022"
"Superstore: Uma Loja de Inconveniências: Temporada 3: Lançamento do jogo","21/05/2022"
"Superstore: Uma Loja de Inconveniências: Temporada 3: Dia da marmota","21/05/2022"
